date,nav,daily_return,regime,n_positions,gross_exposure,costs
2011-06-28,978183.09,0.005692,Goldilocks,9,1046419.59,37.19
2011-06-29,992634.09,0.014773,Goldilocks,9,1043668.4,82.45
2011-06-30,993209.21,0.000579,Stagflation,10,1184165.59,88.87
2011-07-01,989294.86,-0.003941,Stagflation,10,1132712.99,62.96
2011-07-05,996510.92,0.007294,Stagflation,9,1061878.72,27.11
2011-07-06,998950.46,0.002448,Stagflation,11,1353450.6,76.39
2011-07-07,1009321.41,0.010382,Stagflation,9,1137896.0,111.92
2011-07-08,1013075.5,0.003719,Stagflation,9,1342307.26,46.26
2011-07-11,1011888.91,-0.001171,Stagflation,10,1274047.01,89.51
2011-07-12,1013124.92,0.001221,Stagflation,10,1367980.35,60.72
2011-07-13,1024096.59,0.01083,Stagflation,8,988142.38,96.22
2011-07-14,1024858.13,0.000744,Stagflation,9,1089324.8,42.82
2011-07-15,1025335.37,0.000466,Stagflation,9,1051284.13,109.98
2011-07-18,1028554.77,0.00314,Stagflation,8,1307456.39,219.93
2011-07-19,1026729.73,-0.001774,Stagflation,9,1258059.73,79.66
2011-07-20,1036334.13,0.009354,Stagflation,9,1408124.28,167.36
2011-07-21,1050202.82,0.013382,Stagflation,8,1063154.75,164.84
2011-07-22,1044768.35,-0.005175,Stagflation,7,980430.0,171.56
2011-07-25,1042908.51,-0.00178,Stagflation,8,1118677.66,147.34
2011-07-26,1035361.12,-0.007237,Stagflation,8,821027.2,94.06
2011-07-27,1039497.43,0.003995,Stagflation,8,899962.85,74.28
2011-07-28,1044669.4,0.004975,Stagflation,7,1073127.99,101.44
2011-07-29,1038986.86,-0.00544,Stagflation,10,1115541.3,172.03
2011-08-01,1041624.76,0.002539,Stagflation,10,813740.0,83.82
2011-08-02,1036293.85,-0.005118,Stagflation,10,970307.61,46.02
2011-08-03,1026610.14,-0.009345,Stagflation,11,1196633.41,92.71
2011-08-04,1016880.67,-0.009477,Stagflation,11,955067.7,152.78
2011-08-05,1025381.91,0.00836,Stagflation,10,968782.41,85.36
2011-08-08,997653.27,-0.027042,Stagflation,11,999082.1,88.45
2011-08-09,986732.52,-0.010946,Stagflation,11,954453.3,11.43
2011-08-10,995715.87,0.009104,Stagflation,9,1293454.34,87.7
2011-08-11,1015233.67,0.019602,Stagflation,11,1192669.75,48.09
2011-08-12,1016951.44,0.001692,Stagflation,11,1271934.8,34.56
2011-08-15,1024368.99,0.007294,Stagflation,11,1274783.93,70.83
2011-08-16,1015225.04,-0.008926,Stagflation,9,1057216.8,47.82
2011-08-17,1020874.49,0.005565,Stagflation,10,1200770.29,39.54
2011-08-18,994209.08,-0.02612,Stagflation,9,1162240.49,37.36
2011-08-19,995931.25,0.001732,Stagflation,10,1232776.17,21.25
2011-08-22,993052.24,-0.002891,Stagflation,10,1209540.1,10.96
2011-08-23,1004671.01,0.0117,Stagflation,10,1379547.71,34.57
2011-08-24,1014552.53,0.009836,Stagflation,11,1517711.72,81.99
2011-08-25,1039023.03,0.024119,Stagflation,11,1312959.82,95.1
2011-08-26,1037330.14,-0.001629,Stagflation,10,1185823.39,36.48
2011-08-29,1035574.3,-0.001693,Stagflation,10,1302518.72,45.65
2011-08-30,1054034.18,0.017826,Stagflation,11,1465707.51,60.92
2011-08-31,1065759.04,0.011124,Stagflation,10,1341880.88,34.0
2011-09-01,1056479.96,-0.008707,Stagflation,10,1295972.89,148.45
2011-09-02,1047328.36,-0.008662,Stagflation,10,1280638.49,117.91
2011-09-06,1043563.8,-0.003594,Stagflation,9,1159902.11,45.44
2011-09-07,1066035.3,0.021533,Stagflation,10,978349.73,294.07
2011-09-08,1074094.42,0.00756,Stagflation,9,1068716.39,152.04
2011-09-09,1057592.01,-0.015364,Stagflation,9,934101.09,149.27
2011-09-12,1041084.29,-0.015609,Stagflation,8,962293.05,73.93
2011-09-13,1048212.93,0.006847,Stagflation,7,933728.6,124.11
2011-09-14,1042594.78,-0.00536,Stagflation,8,1115035.7,162.26
2011-09-15,1059835.29,0.016536,Stagflation,8,1036950.29,226.68
2011-09-16,1072977.04,0.0124,Stagflation,8,1050677.61,156.56
2011-09-19,1057183.06,-0.01472,Stagflation,9,1068570.25,285.61
2011-09-20,1060487.84,0.003126,Stagflation,9,1097032.86,78.02
2011-09-21,1062837.63,0.002216,Stagflation,9,952122.99,126.09
2011-09-22,1029974.37,-0.03092,Stagflation,9,1040108.47,117.75
2011-09-23,955827.28,-0.071989,Stagflation,7,999407.3,62.92
2011-09-26,952684.56,-0.003288,Stagflation,10,1045913.12,92.53
2011-09-27,989899.37,0.039063,Stagflation,9,927690.74,75.01
2011-09-28,965890.5,-0.024254,Stagflation,9,922109.9,96.51
2011-09-29,968617.7,0.002824,Stagflation,10,937820.89,36.81
2011-09-30,963385.34,-0.005402,Stagflation,11,1028245.1,63.47
2011-10-03,968011.55,0.004802,Stagflation,9,970738.3,83.59
2011-10-04,959141.19,-0.009163,Stagflation,6,776881.0,66.11
2011-10-05,961206.86,0.002154,Stagflation,7,866698.25,26.33
2011-10-06,977176.01,0.016614,Stagflation,8,824409.0,48.1
2011-10-07,968562.36,-0.008815,Stagflation,8,725999.26,51.14
2011-10-10,978694.91,0.010461,Stagflation,10,1001430.51,105.21
2011-10-11,985734.57,0.007193,Stagflation,8,662293.19,140.59
2011-10-12,994607.77,0.009002,Stagflation,10,850883.27,172.52
2011-10-13,991640.79,-0.002983,Stagflation,9,778546.5,42.96
2011-10-14,1008255.49,0.016755,Stagflation,9,785184.1,95.81
2011-10-17,1000204.96,-0.007985,Stagflation,9,654195.76,82.9
2011-10-18,995862.94,-0.004341,Stagflation,10,872361.3,50.02
2011-10-19,989524.26,-0.006365,Stagflation,12,1027335.4,74.37
2011-10-20,980258.71,-0.009364,Stagflation,9,983896.27,85.61
2011-10-21,1000953.45,0.021112,Stagflation,9,994878.5,68.21
2011-10-24,1014512.94,0.013547,Stagflation,7,1200506.5,225.52
2011-10-25,1030268.57,0.01553,Stagflation,9,1326551.59,205.39
2011-10-26,1017383.67,-0.012506,Stagflation,9,1266057.18,44.49
2011-10-27,974470.81,-0.04218,Stagflation,8,1171585.99,28.16
2011-10-28,984249.94,0.010035,Stagflation,10,1133576.39,120.27
2011-10-31,997912.9,0.013882,Stagflation,8,1086057.59,105.93
2011-11-01,1019151.67,0.021283,Stagflation,7,1144564.58,84.2
2011-11-02,1004093.13,-0.014776,Stagflation,9,1268915.65,50.16
2011-11-03,995891.01,-0.008169,Stagflation,7,1194995.6,62.32
2011-11-04,1002681.7,0.006819,Stagflation,9,1098587.3,56.51
2011-11-07,1003441.99,0.000758,Stagflation,9,1143228.39,70.32
2011-11-08,992817.04,-0.010589,Stagflation,11,1227072.81,85.33
2011-11-09,1002412.47,0.009665,Stagflation,10,1203756.88,116.2
2011-11-10,1011072.99,0.00864,Stagflation,10,1184081.71,95.91
2011-11-11,994628.01,-0.016265,Stagflation,9,1204610.59,90.5
2011-11-14,986922.61,-0.007747,Stagflation,10,1214828.97,56.87
2011-11-15,984253.98,-0.002704,Stagflation,10,1178901.41,37.48
2011-11-16,988375.0,0.004187,Stagflation,10,1105367.6,41.19
2011-11-17,1009976.53,0.021856,Stagflation,10,1252891.4,37.09
2011-11-18,1002097.69,-0.007801,Stagflation,12,1378911.78,115.03
2011-11-21,1028380.76,0.026228,Stagflation,11,1491872.61,75.69
2011-11-22,1017921.41,-0.010171,Stagflation,11,999630.1,127.66
2011-11-23,1022662.32,0.004657,Stagflation,11,987753.09,99.9
2011-11-25,1021677.25,-0.000963,Stagflation,9,761214.4,86.39
2011-11-28,1032101.27,0.010203,Stagflation,9,839500.0,71.56
2011-11-29,1021681.34,-0.010096,Stagflation,10,915928.7,112.34
2011-11-30,1030462.68,0.008595,Stagflation,9,1128939.19,206.76
2011-12-01,1021833.61,-0.008374,Stagflation,10,1318656.82,100.67
2011-12-02,1010262.95,-0.011323,Stagflation,9,1085784.74,126.53
2011-12-05,1002605.29,-0.00758,Stagflation,8,1145668.0,95.7
2011-12-06,998171.07,-0.004423,Stagflation,10,1281275.64,87.23
2011-12-07,992324.19,-0.005858,Stagflation,11,1318790.11,45.52
2011-12-08,997373.75,0.005089,Stagflation,10,1244242.61,55.41
2011-12-09,985013.57,-0.012393,Stagflation,10,1271815.5,40.08
2011-12-12,998972.64,0.014171,Stagflation,9,1148340.7,36.64
2011-12-13,1008056.52,0.009093,Stagflation,9,1128937.35,32.03
2011-12-14,1018482.83,0.010343,Stagflation,8,970993.6,135.13
2011-12-15,1020947.0,0.002419,Stagflation,10,1223403.74,138.22
2011-12-16,1016903.4,-0.003961,Stagflation,9,1249273.98,131.35
2011-12-19,1019270.28,0.002328,Stagflation,10,1161998.3,88.2
2011-12-20,1024923.29,0.005546,Stagflation,10,1119597.5,122.0
2011-12-21,1024461.24,-0.000451,Stagflation,10,1214735.9,125.85
2011-12-22,1016550.41,-0.007722,Stagflation,10,1227104.19,56.63
2011-12-23,1005501.32,-0.010869,Stagflation,9,1130728.9,47.3
2011-12-27,1011742.87,0.006207,Stagflation,9,1053112.0,24.52
2011-12-28,1011068.32,-0.000667,Stagflation,10,874385.79,76.39
2011-12-29,1015535.1,0.004418,Stagflation,10,955422.51,26.41
2011-12-30,1003655.23,-0.011698,Stagflation,10,903193.49,84.88
2012-01-03,1018931.9,0.015221,Stagflation,10,931466.9,93.22
2012-01-04,1025975.96,0.006913,Stagflation,11,1054580.3,56.09
2012-01-05,1021693.48,-0.004174,Stagflation,9,1004749.09,46.28
2012-01-06,1024954.45,0.003192,Stagflation,9,958552.89,36.32
2012-01-09,1021126.65,-0.003735,Stagflation,10,1157787.99,47.65
2012-01-10,1032268.24,0.010911,Stagflation,11,1177754.8,79.72
2012-01-11,1025936.75,-0.006134,Stagflation,9,938053.74,66.88
2012-01-12,1024936.41,-0.000975,Stagflation,9,1146198.01,67.61
2012-01-13,1019959.69,-0.004856,Stagflation,9,1216763.0,27.73
2012-01-17,1017328.64,-0.00258,Stagflation,8,1128238.0,122.03
2012-01-18,1010939.1,-0.006281,Stagflation,9,1228087.3,103.56
2012-01-19,995273.32,-0.015496,Stagflation,10,1406398.08,151.25
2012-01-20,1009314.4,0.014108,Stagflation,10,1373073.29,120.49
2012-01-23,1011121.56,0.00179,Stagflation,8,1144053.76,63.4
2012-01-24,1011431.79,0.000307,Stagflation,9,1115673.98,38.53
2012-01-25,1012059.37,0.00062,Stagflation,10,1250252.0,49.42
2012-01-26,997881.74,-0.014009,Stagflation,10,1366988.51,37.61
2012-01-27,1003474.31,0.005604,Stagflation,9,1344333.75,58.18
