date,return
2011-02,-0.0015781452677432473
2011-03,-0.031661207321757145
2011-04,-0.037656037537469045
2011-05,0.05673603257991133
2011-06,-0.00457181115016192
2011-07,0.041775168904616855
2011-08,0.03348773747913514
2011-09,-0.1230490439292582
2011-10,0.0009035464522531012
2011-11,0.017849062895594292
2011-12,-0.03282872739614617
2012-01,0.018031916028473205
2012-02,0.020651634884442993
2012-03,0.021824436145416737
2012-04,0.0043360667139449305
2012-05,-0.030506722663064534
2012-06,0.0052708128905443186
2012-07,0.004407969812296075
2012-08,0.008930863209285711
2012-09,-0.04088528197317065
2012-10,-0.06338892206343516
2012-11,-0.031092222555082483
2012-12,-0.03399273486134746
2013-01,0.009564123662816115
2013-02,0.027913847686214632
2013-03,0.01461174645566432
2013-04,0.06390312478790272
2013-05,-0.010461116067533416
2013-06,-0.011007341513007085
2013-07,0.05599699720987261
2013-08,-0.0025319209249619057
2013-09,0.018719073694919874
2013-10,0.013454004271447717
2013-11,0.013860192985928332
2013-12,0.025032801794570236
2014-01,0.052953701170114
2014-02,-0.022793298828537978
2014-03,-0.003408839741055214
2014-04,-0.007910712942589604
2014-05,0.009266430601034603
2014-06,0.013476186279351321
2014-07,-0.001616781566235903
2014-08,-0.010431174105798968
2014-09,0.009827687095968374
2014-10,-0.007373904116315555
2014-11,0.06771428246326483
2014-12,0.09820185586783148
2015-01,0.03344815252680622
2015-02,-0.0607119832944929
2015-03,0.029554828469340988
2015-04,-0.015386398609202545
2015-05,0.015681516029312226
2015-06,-0.05574830124575603
2015-07,0.0037235374953228373
2015-08,0.03145708365393207
2015-09,0.042717684530938715
2015-10,0.01966220423806808
2015-11,-0.008512131236869669
2015-12,0.012411623966665397
2016-01,-0.024466209678414397
2016-02,-0.07274093861146469
2016-03,-0.06757633590194623
2016-04,-0.03476431194426399
2016-05,-0.022934238032049192
2016-06,0.009130133034119359
2016-07,-0.02250326760399035
2016-08,0.0015009094040687732
2016-09,0.005395872682848912
2016-10,0.007361850511881762
2016-11,0.0007869584855952905
2016-12,0.03629034523847108
2017-01,0.01476597884047548
2017-02,0.0011386232106149752
2017-03,0.011402549521038363
2017-04,0.00027056916936984976
2017-05,0.007573574815870954
2017-06,0.022190183414977582
2017-07,0.06045904948473435
2017-08,0.02650945774702218
2017-09,0.010172834476782189
2017-10,0.06335431990151363
2017-11,0.02359587786041817
2017-12,0.04649987911271336
2018-01,-0.0010490121081622172
2018-02,-0.015553924302549205
2018-03,0.02033414945697709
2018-04,0.04535644201586497
2018-05,-0.008053079643223549
2018-06,0.01952648745980623
2018-07,-0.04294686035306028
2018-08,0.013556034773716252
2018-09,-0.009439437513794946
2018-10,-0.016989693285260343
2018-11,-0.08784736365764956
2018-12,-0.05222757467189598
2019-01,-0.013935324435784158
2019-02,-0.02208028477424584
2019-03,-0.04325881662446107
2019-04,-0.01032709988989089
2019-05,0.019564641873610178
2019-06,0.0009479294406373739
2019-07,0.02067194332865041
2019-08,0.04957652573504223
2019-09,-0.010408899836764074
2019-10,0.0108768805679329
2019-11,0.009400793345594183
2019-12,0.005047090214681749
2020-01,0.018468253323945527
2020-02,0.048292148181487304
2020-03,0.028154027891722944
2020-04,0.03715622798025131
2020-05,-0.10842650546360566
2020-06,-0.07410234886285261
2020-07,0.06417591699201153
2020-08,0.029595581518487624
2020-09,0.08422726125997237
2020-10,0.008286634801319082
2020-11,-0.05119983337963008
2020-12,0.023086003442527092
2021-01,0.005955577213541119
2021-02,-0.009692055095619212
2021-03,-0.050853057750721464
2021-04,0.015529325015022799
2021-05,0.04332688216886926
2021-06,0.04705284332714088
2021-07,0.02322449313799324
2021-08,0.016130464002699574
2021-09,0.11044662725245002
2021-10,0.03986970427918557
2021-11,-0.048025466744739176
2021-12,0.005834351083942035
2022-01,0.06304399262936311
2022-02,0.016362492235079795
2022-03,0.059693839240827495
2022-04,0.05994395460148838
2022-05,0.08323178690860922
2022-06,-0.01464116132113591
2022-07,0.001323303729140246
2022-08,-0.016809875631422888
2022-09,-0.0315106430728761
2022-10,-0.07230683278582695
2022-11,-0.07689946256449243
2022-12,-0.07519332945117396
2023-01,-0.11056468166603661
2023-02,-0.036625873491582084
2023-03,0.08243678640449525
2023-04,0.017206187912027326
2023-05,-0.030333208629115815
2023-06,-0.02838429692669453
2023-07,0.016489103240848957
2023-08,-0.007450360171383896
2023-09,-0.062217614176567015
2023-10,-0.004454965646169873
2023-11,0.0957171907103116
2023-12,-0.01010952944555632
2024-01,-0.005195108254962388
2024-02,-0.030309879919423688
2024-03,0.004742792877546531
2024-04,0.013437034373559698
2024-05,-0.01855766830432759
2024-06,0.006450222216557222
2024-07,-0.04000577399182226
2024-08,0.0008614170295093704
2024-09,0.07861469556151568
2024-10,0.009226117888064822
2024-11,-0.023506085797015186
2024-12,0.009054212604417966
2025-01,0.018661990392551342
2025-02,0.0416898202020457
2025-03,0.04435855286820889
2025-04,-0.04359274548760139
2025-05,0.0020662575399872374
2025-06,-0.013956544719699204
2025-07,-0.08912051718980485
2025-08,0.025193638196424173
2025-09,0.07861590830746557
2025-10,0.07660057499232664
2025-11,0.09900253900223666
2025-12,0.016481040768721034
2026-01,0.007624520652488087
2026-02,0.06851781544536295
2026-03,-0.08830124259280869
2026-04,-0.005139436353828408
