date,nav,daily_return,regime,n_positions,gross_exposure,costs
2011-02-22,1004344.29,-0.006524,Goldilocks,10,935068.75,71.14
2011-02-23,988142.5,-0.016132,Goldilocks,10,887752.55,67.69
2011-02-24,989442.73,0.001316,Goldilocks,10,857218.26,63.56
2011-02-25,992217.16,0.002804,Goldilocks,9,732283.3,64.44
2011-02-28,993623.81,0.001418,Goldilocks,10,828508.81,55.14
2011-03-01,983158.65,-0.010532,Goldilocks,10,959585.54,31.71
2011-03-02,978604.06,-0.004633,Goldilocks,10,932544.4,13.54
2011-03-03,982636.8,0.004121,Goldilocks,10,964897.0,7.55
2011-03-04,978647.15,-0.00406,Goldilocks,9,817152.79,53.76
2011-03-07,977131.36,-0.001549,Goldilocks,9,859973.81,43.29
2011-03-08,980560.77,0.00351,Goldilocks,9,883042.9,38.0
2011-03-09,981258.9,0.000712,Goldilocks,9,959685.4,39.11
2011-03-10,986905.75,0.005755,Goldilocks,9,930021.69,17.36
2011-03-11,987201.12,0.000299,Goldilocks,9,892124.41,19.92
2011-03-14,986955.06,-0.000249,Goldilocks,10,977181.46,40.61
2011-03-15,990385.66,0.003476,Goldilocks,9,937376.3,51.44
2011-03-16,986375.65,-0.004049,Goldilocks,9,846325.39,35.42
2011-03-17,970839.03,-0.015751,Goldilocks,9,837759.2,11.84
2011-03-18,974764.63,0.004044,Goldilocks,8,846375.06,15.04
2011-03-21,972086.35,-0.002748,Goldilocks,8,792566.04,12.79
2011-03-22,966121.25,-0.006136,Goldilocks,8,806747.75,3.38
2011-03-23,959737.44,-0.006608,Goldilocks,8,894636.61,21.22
2011-03-24,962557.92,0.002939,Goldilocks,8,975569.6,40.51
2011-03-25,958558.16,-0.004155,Goldilocks,8,897247.01,26.86
2011-03-28,962932.37,0.004563,Goldilocks,8,950114.81,21.98
2011-03-29,967651.3,0.004901,Goldilocks,7,964674.85,28.28
2011-03-30,968061.11,0.000424,Goldilocks,8,984793.48,31.55
2011-03-31,962164.48,-0.006091,Goldilocks,8,960752.72,8.41
2011-04-01,963468.76,0.001356,Goldilocks,8,935253.35,17.57
2011-04-04,965412.97,0.002018,Goldilocks,8,957180.86,8.8
2011-04-05,964777.54,-0.000658,Goldilocks,8,887814.1,34.69
2011-04-06,962503.31,-0.002357,Goldilocks,8,867790.8,35.03
2011-04-07,962242.91,-0.000271,Goldilocks,8,1029848.01,33.2
2011-04-08,953530.06,-0.009055,Goldilocks,9,1052634.89,54.46
2011-04-11,960883.19,0.007711,Goldilocks,9,987057.74,18.03
2011-04-12,971080.51,0.010612,Goldilocks,8,953584.91,101.45
2011-04-13,971821.54,0.000763,Goldilocks,9,889682.89,45.31
2011-04-14,966849.32,-0.005116,Goldilocks,8,716901.89,52.0
2011-04-15,965325.26,-0.001576,Goldilocks,8,655470.41,75.94
2011-04-18,968893.37,0.003696,Goldilocks,10,826809.21,62.09
2011-04-19,968065.58,-0.000854,Goldilocks,9,796399.49,61.1
2011-04-20,956498.57,-0.011949,Goldilocks,10,826935.65,75.56
2011-04-21,950777.1,-0.005982,Goldilocks,9,694017.59,45.72
2011-04-25,949786.17,-0.001042,Goldilocks,10,809599.8,23.93
2011-04-26,951707.41,0.002023,Goldilocks,10,777294.85,11.86
2011-04-27,946901.75,-0.00505,Goldilocks,9,741563.29,56.88
2011-04-28,937686.13,-0.009732,Goldilocks,8,737210.51,83.3
2011-04-29,925933.18,-0.012534,Goldilocks,7,606585.25,50.46
2011-05-02,926448.88,0.000557,Goldilocks,8,767639.03,49.3
2011-05-03,933902.01,0.008045,Goldilocks,9,712359.0,108.6
2011-05-04,939616.63,0.006119,Goldilocks,8,756974.75,81.62
2011-05-05,953748.8,0.01504,Goldilocks,8,783145.06,141.14
2011-05-06,947859.52,-0.006175,Goldilocks,9,919448.9,62.89
2011-05-09,973527.84,0.02708,Goldilocks,9,966602.6,43.39
2011-05-10,979514.8,0.00615,Goldilocks,7,696383.14,81.82
2011-05-11,974783.54,-0.00483,Goldilocks,8,873130.1,55.69
2011-05-12,973395.08,-0.001424,Goldilocks,10,1066875.14,44.29
2011-05-13,978002.55,0.004733,Goldilocks,10,975560.91,32.27
2011-05-16,965649.26,-0.012631,Goldilocks,9,908041.31,38.69
2011-05-17,963026.72,-0.002716,Goldilocks,10,956462.7,34.91
2011-05-18,970660.03,0.007926,Goldilocks,10,988350.56,38.06
2011-05-19,972996.54,0.002407,Goldilocks,10,984088.88,14.34
2011-05-20,970142.23,-0.002934,Goldilocks,10,1022059.1,10.5
2011-05-23,964570.93,-0.005743,Goldilocks,9,1011756.21,15.4
2011-05-24,975001.4,0.010814,Goldilocks,9,1012330.37,9.24
2011-05-25,982995.23,0.008199,Goldilocks,9,957706.1,27.36
2011-05-26,982445.1,-0.00056,Goldilocks,8,934899.51,57.34
2011-05-27,976590.28,-0.005959,Goldilocks,7,858752.5,32.54
2011-05-31,978466.96,0.001922,Goldilocks,8,966776.01,43.35
